sym,universe,interval,range,rule,bars,n,winrate,avg_ret,sum_ret,PF,maxDD,wf_flag,wf1_n,wf1_avg,wf1_PF,wf2_n,wf2_avg,wf2_PF,score,is_control
META,liquid,1h,3mo,L_EMA_RECLAIM,449,5,60.0,0.8954,4.477,3.991,1.4969,SECOND_ONLY,1,3.6175,99.0,4,0.2149,1.574,7.99,0
META,liquid,1h,3mo,L_VWAP_RECLAIM,449,7,14.29,-1.2037,-8.4257,0.042,8.7927,WEAK_BOTH,4,-1.1368,0.075,3,-1.2929,0.0,-999.0,0
META,liquid,1h,3mo,B_SUPERTREND,449,9,33.33,0.1867,1.6801,1.345,3.279,FIRST_ONLY,7,0.4292,1.846,2,-0.6622,0.0,0.753,0
META,liquid,1h,3mo,HYBRID,449,2,100.0,2.4994,4.9987,99.0,0.0,WEAK_BOTH,1,3.6175,99.0,1,1.3812,99.0,-999.0,0
NVDA,liquid,1d,1y,L_RSI50,251,4,0.0,-3.8219,-15.2877,0.0,15.2877,WEAK_BOTH,1,-3.039,0.0,3,-4.0829,0.0,-999.0,1
NVDA,liquid,1d,1y,L_EMA_RECLAIM,251,4,25.0,-0.5579,-2.2317,0.788,7.4102,SECOND_ONLY,1,-3.1344,0.0,3,0.3009,1.122,-999.0,1
NVDA,liquid,1d,1y,L_VWAP_RECLAIM,251,6,50.0,0.9134,5.4804,1.52,7.4102,BOTH_HALVES,3,1.5259,2.46,3,0.3009,1.122,3.4,1
NVDA,liquid,1d,1y,B_SUPERTREND,251,9,11.11,-2.9182,-26.2635,0.102,26.2635,WEAK_BOTH,4,-4.0484,0.0,5,-2.014,0.228,-999.0,1
NVDA,liquid,1d,1y,B_DONCHIAN_D,251,8,25.0,-1.7243,-13.7941,0.059,13.7941,WEAK_BOTH,3,-2.6808,0.0,5,-1.1504,0.13,-999.0,1
NVDA,liquid,1d,1y,HYBRID,251,4,25.0,-0.5579,-2.2317,0.788,7.4102,SECOND_ONLY,1,-3.1344,0.0,3,0.3009,1.122,-999.0,1
NVDA,liquid,1h,3mo,L_RSI50,449,6,50.0,0.0436,0.2614,1.073,2.9777,WEAK_BOTH,1,2.53,99.0,5,-0.4537,0.362,-999.0,1
NVDA,liquid,1h,3mo,L_EMA_RECLAIM,449,6,66.67,0.3979,2.3874,2.272,1.8772,FIRST_ONLY,2,1.4875,99.0,4,-0.1469,0.687,2.214,1
NVDA,liquid,1h,3mo,L_VWAP_RECLAIM,449,7,42.86,-0.5269,-3.688,0.294,4.6428,WEAK_BOTH,2,-0.5243,0.19,5,-0.5279,0.328,-999.0,1
NVDA,liquid,1h,3mo,B_SUPERTREND,449,9,22.22,-0.1827,-1.644,0.658,3.8347,FIRST_ONLY,3,0.6427,3.927,6,-0.5953,0.14,-999.0,1
NVDA,liquid,1h,3mo,HYBRID,449,5,60.0,0.3885,1.9425,2.035,1.8772,WEAK_BOTH,1,2.53,99.0,4,-0.1469,0.687,1.768,1
PLTR,liquid,1d,1y,L_RSI50,251,1,0.0,-4.853,-4.853,0.0,4.853,WEAK_BOTH,1,-4.853,0.0,0,0.0,0.0,-999.0,0
PLTR,liquid,1d,1y,L_EMA_RECLAIM,251,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
PLTR,liquid,1d,1y,L_VWAP_RECLAIM,251,3,33.33,0.5466,1.6397,1.215,6.4287,SECOND_ONLY,1,-6.4287,0.0,2,4.0342,7.678,-999.0,0
PLTR,liquid,1d,1y,B_SUPERTREND,251,4,0.0,-5.0709,-20.2838,0.0,20.2838,WEAK_BOTH,3,-5.4493,0.0,1,-3.9359,0.0,-999.0,0
PLTR,liquid,1d,1y,B_DONCHIAN_D,251,5,40.0,-1.2178,-6.089,0.56,13.8403,WEAK_BOTH,2,-1.8571,0.178,3,-0.7916,0.745,-999.0,0
PLTR,liquid,1d,1y,HYBRID,251,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
PLTR,liquid,1h,3mo,L_RSI50,449,5,40.0,0.5185,2.5923,1.954,2.718,SECOND_ONLY,2,-0.6159,0.0,3,1.2747,3.573,2.265,0
PLTR,liquid,1h,3mo,L_EMA_RECLAIM,449,4,25.0,-0.519,-2.0761,0.147,2.0761,WEAK_BOTH,2,-0.9052,0.0,2,-0.1329,0.574,-999.0,0
PLTR,liquid,1h,3mo,L_VWAP_RECLAIM,449,10,50.0,2.7017,27.017,6.543,2.5491,BOTH_HALVES,4,1.8041,5.098,6,3.3001,7.361,42.718,0
PLTR,liquid,1h,3mo,B_SUPERTREND,449,14,28.57,0.5801,8.1214,1.497,9.6744,SECOND_ONLY,6,-1.1749,0.167,8,1.8963,2.921,3.248,0
PLTR,liquid,1h,3mo,HYBRID,449,3,33.33,0.2771,0.8312,1.675,1.2318,WEAK_BOTH,2,-0.6159,0.0,1,2.063,99.0,-999.0,0
QQQ,liquid,1d,1y,L_RSI50,251,3,0.0,-1.6082,-4.8247,0.0,4.8247,WEAK_BOTH,1,-1.0634,0.0,2,-1.8807,0.0,-999.0,0
QQQ,liquid,1d,1y,L_EMA_RECLAIM,251,1,0.0,-1.7353,-1.7353,0.0,1.7353,WEAK_BOTH,0,0.0,0.0,1,-1.7353,0.0,-999.0,0
QQQ,liquid,1d,1y,L_VWAP_RECLAIM,251,1,100.0,3.8238,3.8238,99.0,0.0,WEAK_BOTH,1,3.8238,99.0,0,0.0,0.0,-999.0,0
QQQ,liquid,1d,1y,B_SUPERTREND,251,5,0.0,-1.3883,-6.9416,0.0,6.9416,WEAK_BOTH,3,-1.1821,0.0,2,-1.6976,0.0,-999.0,0
QQQ,liquid,1d,1y,B_DONCHIAN_D,251,4,0.0,-1.7258,-6.9031,0.0,6.9031,WEAK_BOTH,2,-1.7442,0.0,2,-1.7073,0.0,-999.0,0
QQQ,liquid,1d,1y,HYBRID,251,1,0.0,-1.7353,-1.7353,0.0,1.7353,WEAK_BOTH,0,0.0,0.0,1,-1.7353,0.0,-999.0,0
